t              u1             u2             u3
0.190873       1.000000       2.572618       3.000000
0.191206       1.000000       2.573618       3.000000
0.191539       1.000000       2.574617       3.000000
0.191872       1.000000       2.575616       3.000000
0.192205       1.000000       2.576616       3.000000
0.192538       1.000000       2.577615       3.000000
0.192871       1.000000       2.578614       3.000000
0.193205       1.000000       2.579614       3.000000
0.193538       1.000000       2.580613       3.000000
0.193871       1.000000       2.581612       3.000000
0.194204       1.000000       2.582612       3.000000
0.194537       1.000000       2.583611       3.000000
0.194870       1.000000       2.584610       3.000000
0.195203       1.000000       2.585610       3.000000
0.195536       1.000000       2.586609       3.000000
0.195869       1.000000       2.587608       3.000000
0.196203       1.000000       2.588608       3.000000
0.196536       1.000000       2.589607       3.000000
0.196869       1.000000       2.590606       3.000000
0.197202       1.000000       2.591606       3.000000
0.197535       1.000000       2.592605       3.000000
0.197868       1.000000       2.593604       3.000000
0.198201       1.000000       2.594604       3.000000
0.198534       1.000000       2.595603       3.000000
0.198867       1.000000       2.596602       3.000000
0.199201       1.000000       2.597602       3.000000
0.199534       1.000000       2.598601       3.000000
0.199867       1.000000       2.599600       3.000000
0.200200       1.000000       2.600600       3.000000
0.200533       1.000000       2.601599       3.000000
0.200866       1.000000       2.602598       3.000000
0.201199       1.000000       2.603598       3.000000
0.201532       1.000000       2.604597       3.000000
0.201865       1.000000       2.605596       3.000000
0.202199       1.000000       2.606596       3.000000
0.202532       1.000000       2.607595       3.000000
0.202865       1.000000       2.608594       3.000000
0.203198       1.000000       2.609594       3.000000
0.203531       1.000000       2.610593       3.000000
0.203864       1.000000       2.611592       3.000000
0.204197       1.000000       2.612592       3.000000
0.204530       1.000000       2.613591       3.000000
0.204863       1.000000       2.614590       3.000000
0.205197       1.000000       2.615590       3.000000
0.205530       1.000000       2.616589       3.000000
0.205863       1.000000       2.617588       3.000000
0.206196       1.000000       2.618588       3.000000
0.206529       1.000000       2.619587       3.000000
0.206862       1.000000       2.620586       3.000000
0.207195       1.000000       2.621586       3.000000
0.207528       1.000000       2.622585       3.000000
0.207861       1.000000       2.623584       3.000000
0.208195       1.000000       2.624584       3.000000
0.208528       1.000000       2.625583       3.000000
0.208861       1.000000       2.626582       3.000000
0.209194       1.000000       2.627582       3.000000
0.209527       1.000000       2.628581       3.000000
0.209860       1.000000       2.629580       3.000000
0.210193       1.000000       2.630580       3.000000
0.210526       1.000000       2.631579       3.000000
0.210859       1.000000       2.632578       3.000000
0.211193       1.000000       2.633578       3.000000
0.211526       1.000000       2.634577       3.000000
0.211859       1.000000       2.635576       3.000000
0.212192       1.000000       2.636576       3.000000
0.212525       1.000000       2.637575       3.000000
0.212858       1.000000       2.638574       3.000000
0.213191       1.000000       2.639574       3.000000
0.213524       1.000000       2.640573       3.000000
0.213857       1.000000       2.641572       3.000000
0.214191       1.000000       2.642572       3.000000
0.214524       1.000000       2.643571       3.000000
0.214857       1.000000       2.644570       3.000000
0.215190       1.000000       2.645570       3.000000
0.215523       1.000000       2.646569       3.000000
0.215856       1.000000       2.647568       3.000000
0.216189       1.000000       2.648568       3.000000
0.216522       1.000000       2.649567       3.000000
0.216855       1.000000       2.650566       3.000000
0.217189       1.000000       2.651566       3.000000
0.217522       1.000000       2.652565       3.000000
0.217855       1.000000       2.653564       3.000000
0.218188       1.000000       2.654564       3.000000
0.218521       1.000000       2.655563       3.000000
0.218854       1.000000       2.656562       3.000000
0.219187       1.000000       2.657562       3.000000
0.219520       1.000000       2.658561       3.000000
0.219853       1.000000       2.659560       3.000000
0.220187       1.000000       2.660560       3.000000
0.220520       1.000000       2.661559       3.000000
0.220853       1.000000       2.662558       3.000000
0.221186       1.000000       2.663558       3.000000
0.221519       1.000000       2.664557       3.000000
0.221852       1.000000       2.665556       3.000000
0.222185       1.000000       2.666556       3.000000
0.222518       1.000000       2.667555       3.000000
